query,passage
পশ্চিম ভারতের মহারাষ্ট্র রাজ্যের মুম্বাই শহরে নির্মিত গেটওয়ে অব ইন্ডিয়া স্থাপত্যটির ভিত্তিপ্রস্তর স্থাপন করেন কে ?,"দিল্লী দর্বার তৈরীর পূর্বে, গেটওয়ে অব ইন্ডিয়া ১৯১১ সালে কিং জর্জ ফাইভ এবং কুনি মেরি মুম্বাই আগমনের স্মৃতি রক্ষার্থে নির্মাণ করা হয়েছিল। কিন্তু তারা এই স্থাপত্যটির শুধু কার্ডবোর্ড মডেল দেখে যেতে পেরেছিলেন, কেননা নির্মাণকাজ ১৯১৫ সালের পরে শুরু হয়েছিল।[11] বোম্বের সরকার স্যার জর্জ সিডেনহাম ক্লার্ক ১৯১১ সালের ৩১শে মার্চ স্থাপত্যটির ভিত্তিপ্রস্তর স্থাপন করেন। চুড়ান্ত নকশা ১৯১৩ সালের ৩১শে মার্চ অনুমোদিত হয়। গেটওয়েটি হলুদ ব্যাসল্ট এবং কংক্রিট দিয়ে বানানো হয়েছিল।[12] ফাউন্ডেশনের কাজ ১৯২০ সালে এবং পুরো কাজ শেহ হয়েছিল ১৯২৪ সালে। [13] ভাইসরয় দি আর্ল অব রিডিং ১৯২৪ সালের ৪ই ডিসেম্বর গেটওয়েটি উন্মুক্ত করেন।[6]"
ভারতীয় বাঙালি কথাসাহিত্যিক মহাশ্বেতা দেবীর প্রথম প্রকাশিত উপন্যাসের নাম কী ?,মহাশ্বেতা দেবী ১০০টিরও বেশি উপন্যাস এবং ২০টিরও বেশি ছোটোগল্প সংকলন রচনা করেছেন। তিনি মূলত বাংলা ভাষায় সাহিত্য রচনা করেছেন। তবে সেই সব রচনার মধ্যে অনেকগুলি অন্যান্য ভাষায় অনূদিত হয়েছে।[9] তাঁর প্রথম উপন্যাস ঝাঁসির রানি ঝাঁসির রানির (লক্ষ্মীবাই) জীবনী অবলম্বনে রচিত। এটি প্রকাশিত হয়েছিল ১৯৫৬ সালে। এই উপন্যাসটি রচনার আগে তিনি ঝাঁসি অঞ্চলে গিয়ে তাঁর রচনার উপাদান হিসেবে স্থানীয় অধিবাসীদের কাছ থেকে তথ্য ও লোকগীতি সংগ্রহ করে এনেছিলেন।[3]
কলকাতার মেট্রো প্রথম কবে তৈরী হয় ?,"প্রকল্পের কাজ শুরু হলেও ১৯৭৭-৭৮ সালে অর্থের জোগান বন্ধ থাকা, ভূগর্ভস্থ পরিষেবাগুলির স্থানান্তরণ, আদালতের নানা স্থগিতাদেশ, কাঁচামালের অনিয়মিত সরবরাহ ইত্যাদি কারণে প্রকল্প রূপায়ণে অযথা দেরি হতে থাকে। অবশেষে তদানীন্তন রেলমন্ত্রী আবু বারকাত আতাউর গণী খান চৌধুরীর বিশেষ উদ্যোগ, কর্মদক্ষতা, ও কূটনৈতিক দূরদৃষ্টির ফলে প্রকল্পের কাজে দ্রুততা আসে, এবং ১৯৮৪ সালের ২৪ অক্টোবর প্রধানমন্ত্রী ইন্দিরা গান্ধী এসপ্ল্যানেড-ভবানীপুর (নেতাজি ভবন) ৩.৪০ কিলোমিটার দৈর্ঘ্য্যবিশিষ্ট রুটে ভারতের প্রথম তথা এশিয়ার পঞ্চম মেট্রো পরিষেবা কলকাতা মেট্রোর উদ্বোধন করেন।[3] ওই বছরই ১২ নভেম্বর চালু হয় দমদম-বেলগাছিয়া ২.১৫ কিলোমিটার দৈর্ঘ্য্যবিশিষ্ট রুটটিও। উল্লেখ্য, এটিই কলকাতা মেট্রোর দীর্ঘতম স্টেশন দূরত্ব।[3] ১৯৮৬ সালের ২৯ এপ্রিল টালিগঞ্জ অবধি মেট্রো সম্পসারিত হলে এসপ্ল্যানেড থেকে টালিগঞ্জ অবধি ১১টি স্টেশন নিয়ে ৯.৭৯ কিলোমিটার পথের কাজ সম্পূর্ণ হয়।[3]"
বিখ্যাত জ্যোতির্বিজ্ঞানী নিকোলাউস কোপের্নিকুসের জন্ম কবে হয় ?,"নিকোলাস কোপারনিকাস (পলিশ ভাষায় মিকলজ কোপারনিক , জার্মান ভাষায় নিক্লাস কপারনিক, ১৪৭৩ সালের ১৮ ফেব্রুয়ারী জন্ম\ ২৪ মে ১৫৪৩ মৃত্যু) ছিলেন রেনেসাঁ এবং সংস্কার যুগের মহান গণিতবিদ এবং জ্যোতির্বিদ। তিনি এই মহাবিশের একটি মডেল তৈরি করেছিলেন। যেখানে তিনি পৃথিবী নয় বরং সূর্যকে সৌরজগতের কেন্দ্র হিসাবে উল্লেখ করেন। তিনি আঠারো শতকের আগে এমন একটি মডেল প্রনয়ন করেন যখন চারিদিকে সক্রেটিস এবং এরিস্টটলের মতবাদ চলছিল।"
"কত সালে সর্বপ্রথম সৌদি আরবে সর্বোচ্চ সরকারী ধর্মীয় প্রতিষ্ঠান ""সর্বোচ্চ উলামা পরিষদ"" গঠিত হয় ?","সৌদি আরবের বাদশাহ ফয়সাল ইবনে আব্দুল আজিজ ২৯শে আগস্ট, ১৯৭১ সালে (০৮ই রজব ১৩৯১ হিজরী) একটি রাজকীয় আদেশের মাধ্যমে সর্বোচ্চ উলামা পরিষদ প্রতিষ্ঠা করেন। পরিষদ চাইলে সৌদি উলামাদের পাশাপাশি বিদেশী সালাফী আক্বীদার উলামাগণকেও নিয়োগ দিতে পারেন। এর অধীনে একটি স্থায়ী কমিটি থাকে, যার সদস্যদের রাজকীয় আদেশ দ্বারা নিয়োগ করা হয়।"
গুগুল কোম্পানিটির সদর অফিস কোথায় ?,"গুগল এলএলসি[4] (English: Google LLC) বা গুগল লিমিটেড লায়াবেলিটি কোম্পানি ইন্টারনেটভিত্তিক সেবা ও পণ্যে বিশেষায়িত একটি আমেরিকান বহুজাতিক প্রযুক্তি কোম্পানি। স্ট্যানফোর্ড বিশ্ববিদ্যালয়ে পিএইচডি ছাত্র থাকাকালীন ল্যারি পেজ ও সের্গেই ব্রিন ১৯৯৮ সালে গুগল নির্মান করেন। গুগলের ১৪ শতাংশ শেয়ার তাদের এবং বিশেষ সুপারভোটিং ক্ষমতার মাধ্যমে ৫৬ শতাংশ স্টকহোল্ডারকে নিয়ন্ত্রণ করে। সেপ্টেম্বর ৪, ১৯৯৮ সালে তারা গুগলকে প্রাইভেট কোম্পানি হিসেবে অন্তর্ভুক্ত করে। গুগল আগস্ট ১৯, ২০০৪ সালে ইনিশিয়াল পাবলিক অফারিং (আইপিও) দেয় ও গুগলপ্লেক্স নামে মাউন্টেইন ভিউতে তাদের নতুন সদরদপ্তরে স্থানান্তরিত হয়। আগস্ট ২০১৫ সালে গুগল এর বিভিন্ন কার্যক্রম আলফাবেট ইনকর্পোরেটেড নামে সমন্বিত করার পরিকল্পনার কথা জানায়। আলফাবেটের প্রধান অধীনস্থ সংগঠন হিসেবে আলফাবেটের ইন্টারনেট কার্যক্রম পরিচালনা করবে। পুনগঠনের সমাপনী অংশ হিসেবে সুন্দর পিচাই গুগলের প্রধান নির্বাহী কর্মকর্তা হিসেবে ল্যারি পেজকে প্রতিস্থাপন করেন। (ল্যারি পেজ এখন আলফাবেটের প্রধান নির্বাহী কর্মকর্তা)"
সবরমতি রিভারফ্রন্টের মোট আয়তন কত ?,"সবরমতি নদী একটি মৌসুমী নদী, যার অববাহিকার মোট আয়তন ২৭,৮২০ বর্গকিলোমিটার মধ্যে আহমেদাবাদে মোট আয়তন ১০,৩৭০ বর্গ কিলোমিটার এলাকা। প্রকল্পের আগে, নদীর প্রস্থ ৩০০ মিটার ছিল বর্তমানে ৪২৫ মি করা হয়েছে। ১৯৭৬ সালে ধারই বাঁধ নির্মাণের ফলে আহমেদাবাদের সবরমতি নদীতে জল প্রবাহিত হয় এবং বন্যা থেকে রক্ষা পায় এবং ১৯৭৬ সালে নির্মিত ভাসনা বাঁধটি নদীর তীরে নদীর জল বজায় রাখে এবং সেচের জন্য ফতেহাবাদি খালের মাধ্যমে জলের প্রবাহ ঘটায়। নর্মদা খাল, যা শহর থেকে কয়েক কিলোমিটার দূরে পশ্চিমে সারমালা অতিক্রম করে, সর্দার সরোবর বাঁধের একটি বড় খাল ব্যবস্থার অংশ। খালটি নদীতে অতিরিক্ত জলের যোগান দেয় এবং নদীতে নদীর জলস্তর বজায় রাখতে পারে।"
মাস্টারদা সূর্যকুমার সেনের বাবার নাম কী ছিল ?,"সূর্য সেন ১৮৯৪ সালের ২২ মার্চ চট্টগ্রামের রাউজান থানার নোয়াপাড়ায় অর্থনৈতিক ভাবে অস্বচ্ছল পরিবারে জন্মগ্রহণ করেন। তাঁর পিতার নাম রাজমনি সেন এবং মাতার নাম শশী বালা সেন। রাজমনি সেনের দুই ছেলে আর চার মেয়ে। সূর্য সেন তাঁদের পরিবারের চতুর্থ সন্তান। দুই ছেলের নাম সূর্য ও কমল। চার মেয়ের নাম বরদাসুন্দরী, সাবিত্রী, ভানুমতী ও প্রমিলা। শৈশবে পিতা মাতাকে হারানো সূর্য সেন কাকা গৌরমনি সেনের কাছে মানুষ হয়েছেন।[2] সূর্য সেন ছেলেবেলা থেকেই খুব মনোযোগী ভাল ছাত্র ছিলেন এবং ধর্মভাবাপন্ন গম্ভীর প্রকৃতির ছিলেন।[3]"
বাংলা নববর্ষের প্রথম দিনটিকে কি নামে ডাকা হয় ?,"পয়লা বৈশাখ বা পহেলা বৈশাখ (বাংলা পঞ্জিকার প্রথম মাস বৈশাখের ১ তারিখ) বঙ্গাব্দের প্রথম দিন, তথা বাংলা নববর্ষ। দিনটি বাঙালি জাতির ঐতিহ্যবাহী বর্ষবরণের দিন। দিনটি বাংলাদেশ এবং ভারতের পশ্চিমবঙ্গে নববর্ষ হিসেবে বিশেষ উৎসবের সাথে পালিত হয়। ত্রিপুরায় বসবাসরত বাঙালিরাও এই উৎসবে অংশ নিয়ে থাকে। সে হিসেবে এটি বাঙালিদের একটি সর্বজনীন লোকউৎসব হিসাবে বিবেচিত।[1]"
মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়টির মোট আয়তন কত ?,"এই বিশ্ববিদ্যালয়টি টাঙ্গাইলের সদর উপজেলার উত্তর-পশ্চিমে মাওলানা ভাসানীর স্মৃতিধন্য সন্তোষে অবস্থিত। এই ক্যাম্পাসের আয়তন প্রায় ৫৭ একর (২৩০৬৭০.৮১৬ বর্গমিটার)। এই জায়গার ভেতরই বিশ্ববিদ্যালয়ের পাঁচটি অনুষদ, প্রশাসনিক ভবন, পাঁচটি আবাসিক শিক্ষার্থী হল, কেন্দ্রীয় গ্রন্থাগার, খেলার মাঠ ইত্যাদি অবস্থিত। এছাড়া ক্যাম্পাসের অধিভুক্ত জায়গার ভেতরই মাওলানা ভাসানীর প্রত্যক্ষ তত্ত্বাবধানে নির্মিত ঐতিহাসিক দরবার হল, প্রখ্যাত সুফি সাধক পীর শাহ জামানের নামানুসারে পীর শাহ জামান দীঘি, মাওলানা ভাসানীর মাজার, একটি মসজিদসহ আরো বেশ কিছু প্রতিষ্ঠান রয়েছে।"
