query_text,gold_passage,hard_negative,llm_classification,is_hard,hardness_score
Remmy Ongala alifariki mwaka gani?,"Remmy Ongala (10 Februari 1947 - 12 Desemba 2010) alikuwa mwanamuziki nchini Tanzania mwenye asili ya Zaire. Alizaliwa na jina la kiraia la Ramadhani Mtoro Ongala katika jimbo la Kivu la Kongo ya Kibelgiji. Remmy alifahamika sana kwa uwezo wake wa kutungia nyimbo akiwa jukwaani. Mbali na zile anazotunga akiwa na wenziwe, lakini akiwa katika kumbi huwa anazifanyia manjonjo zaidi ya yale aliyotungia. Alikuwa mbunifu na kipenzi cha watu. Licha ya kuingia katika dini mbalimbali mwisho akaishia kuwa Mlokole hadi kifo chake.",Alianza kusoma elimu ya msingi katika Shule ya Msingi Mlimani jijini Dar es Salaam mwaka 1985 na kuhitimu mwaka 1991. Alichaguliwa kujiunga na Shule ya Sekondari ya Wasichana Zanaki mwaka 1992 na kuhitimu kidato cha nne mwaka 1995.,HARD,True,0.6
"Je, Doris May Lessing alishinda tuzo la nini katika tuzo za Nobel?",Doris May Lessing (amezaliwa 22 Oktoba 1919) alikuwa mwandishi kutoka nchi ya Uingereza akiwa amezaliwa nchini Uajemi. Aliandika pia chini ya lakabu ya Jane Somers. Mwaka wa 2007 alikuwa mshindi wa Tuzo ya Nobel ya Fasihi.,"Kanye Omari West (amezaliwa tar. 8 Juni 1977)[1] ni mshindi mara ishirini na moja wa Tuzo za muziki za Grammy, akiwa kama rapa-mtayarishaji bora wa muziki kutoka nchini Marekani. Anafahamika zaidi kwa jina lake la kisanii kama Kanye West.",HARD,True,0.6
"Je,watu wangapi walipoteza maisha yao katika Shambulio la 11 Septemba 2001?","Shambulio la 11 Septemba 2001 ni tarehe na mwaka uliotokea mashambulio manne ya pamoja yaliyofanywa na kikosi cha Kigaidi cha al-Qaida dhidi ya Marekani. Kwa mujibu wa taarifa za maofisa, yasemekana kwamba kikosi cha Al-Qaida waliziteka nyala ndege nne wakazitumia kama silaha wakigongesha ndege katika majengo mjini New York na Washington DC kwa makusudi. Karibuni watu 3,000 walipoteza maisha katika shambulio hilo.","Kwa ujumla Traveler inaangaza hasa juhudi za Jay Burchell (Matthew Bomer) na Tyler Fog (Logan Marshall-Green), wahitimu wenye jukumu la kuhakikisha wanasafisha majina yao katika jamii baada ya kupakaziwa tuhuma za kulipua makumbusho na rafiki yao Will Traveler (Aaron Stanford).",EASY,False,0.2
Nabii Yeremia alifanya unabii mwaka gani?,Katika muda wa utume wake (626-585 hivi K.K.) kipindi kizuri ni kile tu ambacho mfalme Yosia alifanya urekebisho (622-609 K.K.).,"Katika Biblia ya Kikristo kila nabii anahesabiwa peke yake, hivyo vitabu ni 12, kama ifuatavyo:",EASY,False,0.5
Nani alizundua chombo cha darubini?,Darubini ya kwanza inayojulikana ilitengenezwa mwaka 1608 na Mholanzi Hans Lipperhey aliyekuwa fundi miwani akaunganisha lenzi mbili katika bomba.,Rosetta ni chombo cha angani cha Mamlaka ya Ulaya ya Usafiri wa Anga. Mwaka 2004 Kilirushwa kutoka kituo cha angani Kourou kwa roketi ya Ariane 5 kwa kusudi la kufikia nyotamkia ya 67P/Churyumov–Gerasimenko.,EASY,False,0.4
"Je,mji mkuu wa Tanzania ni upi?",Dodoma ni mji mkuu wa Tanzania na pia ni Jiji.,Casablanca ina bandari kubwa ya Moroko[1] ikiwa ni pia kitovu cha benki kubwa za nchi hii. Kufuatana na sensa ya 2012 idadi ya wakazi ilizidi milioni nne katika wilaya yake. Hivyo inatazamiwa kama mji mkuu wa kiuchumi ilhali mji mkuu wa kisiasa ni Rabat.,HARD,True,0.6
"Je,Tanzania ina eneo bunge ngapi?",Bunge linamjumuisha rais wa Tanzania pamoja na wabunge. Mnamo mwaka 2017 kuna wabunge 393[1] wanaoingia kwa namna tofauti [2],"Kulingana na sensa ya mwaka 2009, Nairobi ina wakaaji 3,138,295 katika eneo la km2 696 (sq mi 269).",HARD,True,0.6
Nani alituzwa tuzo ya Nobel ya Fasihi ya kwanza ulimwenguni?,"1901 – Wilhelm Conrad Röntgen (Fizikia), Jacobus Henricus van’t Hoff (Kemia), Emil von Behring (Tiba), Sully Prudhomme (Fasihi), Henri Dunant na Frederic Passy (Amani);","Wangari Muta Maathai (1 Aprili 1940 – 25 Septemba 2011) alikuwa mwanaharakati wa masuala ya mazingira na haki za wanawake kutoka nchini Kenya. Mwaka wa 2004 alikuwa mshindi wa Tuzo ya Nobel ya Amani.[1] Yeye ni mwanamke Mwafrika wa kwanza kupokea tuzo hilo. Pia, aliwahi kuwa mbunge wa Kenya na waziri msaidizi katika serikali ya Mwai Kibaki kati ya Januari 2003 hadi Novemba 2005.",HARD,True,0.65
"Je,Shule ya Aga Khan Academy mjini Mombasa inapatikana katika sehemu gani?","Shule ya Aga Khan Academy, mjini Mombasa ni moja kati ya kundi za shule katika Aga Khan Academy, wanaofunza elimu ya kiwango cha kimataifa na iliyo bora katika aina yoyote ya elimu.","Yobes Ondieki (mzaliwa 21 Februari 1961 katika katika wilaya ya Kisii, Nyanza) ni mwanariadha wa 5000m wa zamani wa Kenya aliyeshinda mashindano ya dunia mjini Tokyo 1991. Katika mwaka uo huo aliweka rekodi isiyokaa ya mita 5000 ya kenya ya dakika 13.02.82 huko mjini Zürich. Alishiriki katika fainali za Olimpiki za miaka ya 1988 na 1992 lakini hakushinda medali.",HARD,True,0.6
Vladimir Nabokov aliandika vitabu vingapi?,"1955 alitoa kitabu kilichoendelea kumfanya mtu maarufu kimataifa na kumpatia mapato makubwa. Riwaya ""Lolita"" ilisimulia habari za mapenzi kati ya mwanaume mzee na binti mdogo. Baada ya kufaulu vema kiuchumi aliacha kazi yake kwenye chuo kikuu na 1961 akahamia Montreux (Uswisi) pamoja na mke wake alipoaga dunia mwaka 1977.","Christopher R. Mwashinga, Jr (amezaliwa Januari 9, 1965) ni mchungaji, mwanateolojia, mwandishi wa vitabu na mshairi kutoka nchi ya Tanzania anayeishi nchini Marekani. Amechapisha vitabu vya mashairi, teolojia, utume na historia ya dini. Mashairi yake yamechapishwa Singapore [1], Tanzania [2], Kenya [3] na Marekani[4]. Anaandika vitabu kwa lugha ya Kiingereza na Kiswahili.",HARD,True,0.6
Nchi ya Gabon iko na idadi ngapi ya watu?,Umma hasa kwa ujumla yasemekana ni kama watu milioni 1.5 lakini mambo haya yamebaki bila kuwaziwa.,"Sensa ni utaratibu wa kupata na kutunza habari kuhusu idadi ya watu fulanifulani. Pia ni utaratibu wa mara kwa mara na hesabu rasmi ya idadi ya watu hao. [1] [2] Msamiati hutumiwa zaidi kuhusiana na idadi ya kitaifa na sensa ya mlango kwa mlango (kuchukuliwa kila miaka 10 kulingana na mapendekezo ya Umoja wa Mataifa), na ile ya kilimo na biashara.",HARD,True,0.85
Yesu Kristo aliishi Miaka ngapi duniani?,"Yesu (kwa Kiebrania יֵשׁוּעַ, Yeshua, kifupisho cha יהושע‎, Yeoshua, yaani ""Mungu anaokoa"") alikuwa Myahudi mwanamume aliyeishi miaka 2000 hivi iliyopita (labda 6 KK - 30 BK).","Ndipo Yesu naye alipoanza kuhubiri, lakini pia kutenda miujiza ya kila aina, akapata haraka wafuasi wengi. Kati yao akachagua Mitume wake 12 kama msingi mpya wa taifa la Mungu badala ya Israeli ya kale.",HARD,True,0.6
Ubaridi wa ashiki una dawa?,"kutoweza kufikia, au kudumisha madhihiriko ya kutosha ya ulainishaji-uvimbe wa msisimko wa kingono hadi kukamilika kwa shughuli ya kingono,[1] vurugu husababisha dhiki dhahiri au shida kati ya watu, na shida ya kingono haielezwi na tatizo lingine la Jira I (isipokuwa tatizo lingine la kingono) na haitokani tu na madhara ya fiziolojia ya moja kwa moja ya dutu (km., dawa ya dhuluma, dawa) au hali ya jumla ya uuguzi.",Msitu wa Mau ni misitu tata katika Bonde la Ufanchini Kenya. Ni msitu asili wa milimani ulio mkubwa zaidi katika Afrika Mashariki. Msitu tata wa Mau una eneo wa hektari 273300 [0],HARD,True,0.6
"Je, yesu alizaliwa mwaka gani?","Yesu (kwa Kiebrania יֵשׁוּעַ, Yeshua, kifupisho cha יהושע‎, Yeoshua, yaani ""Mungu anaokoa"") alikuwa Myahudi mwanamume aliyeishi miaka 2000 hivi iliyopita (labda 6 KK - 30 BK).","Oliver N'Goma (23 Machi 1959 – 7 Juni 2010) alikuwa mpiga gitaa na mwimbaji wa muziki wa Afro-zouk na reggae kutoka nchini Gabon. Alipewa jina la utani la ""Noli,"" alizaliwa mjini Mayumba huko mjini kusini-mwagharibi mwa nchi ya Gabon mnamo mwaka wa 1959. Alifahamika sana kwa kibao chake cha mwaka wa 1989 Bane, ambacho kilivumishwa sana na Radio Africa N.1 na Gilles Obringer.",EASY,False,0.45
