query_text,gold_passage,hard_negative,rag_score
what are the liberal arts?,"liberal arts. 1. the academic course of instruction at a college intended to provide general knowledge and comprising the arts, humanities, natural sciences, and social sciences, as opposed to professional or technical subjects.","What Are Hormones, And What Do They Do? Hormones are special chemical messengers in the body that are created in the endocrine glands. These messengers control most major bodily functions, from simple basic needs like hunger to complex systems like reproduction, and even the emotions and mood. Understanding the major hormones and what they do will help patients take control of their health. Prostaglandins.",0.5
what is the mechanism of action of fibrinolytic or thrombolytic drugs?,"BailliÃ¨re's Clinical Haematology. 6 Mechanism of action of the thrombolytic agents. 6 Mechanism of action of the thrombolytic agents JEFFREY I. WEITZ Fibrin formed during the haemostatic, inflammatory or tissue repair process serves a temporary role, and must be degraded to restore normal tissue function and structure.","Here is the video of claw mechanism animation. This is a spacial four-bar mechanism in which length of connecting bar changes continuously.You can see more gear and linkages in mekanizmalar site shown below. http://www,mekanizmalar.com/menu_gear...1  Science & Technology.ere is the video of claw mechanism animation. This is a spacial four-bar mechanism in which length of connecting bar changes continuously.",0.85
dollar cost averaging explained,"Dollar-cost averaging is simply a method of purchasing shares of a mutual fund on a monthly basis. The same dollar amount is used each month to purchase fund shares month in and month out for typically a long period of time, such as from one to ten years. regular purchase of shares of stock or other securities will typically require the investor to decide the number of shares to be purchased and then place an actual trade, while dollar-cost averaging is the investing equivalent of âauto pilotâ. See also the 7 Questions to Ask When Buying a Mutual Funds.","Family Dollar. Family Dollar Stores Inc. is an American variety store chain in the United States. With over 8,000 locations in all states except Alaska, Hawaii, Oregon and Washington, it is the second largest retailer of its type in the United States. Family Dollar is headquartered in Matthews, a suburb of Charlotte, North Carolina, where it employs 1,400 people.",0.4
which act requires manufacturers to disclose the origins of their minerals?,"International efforts to reduce trade in conflict resources, tried to reduce incentives to extract and fight over them. For example, in the United States, the 2010 DoddâFrank Wall Street Reform and Consumer Protection Act required manufacturers to audit their supply chains and report use of conflict minerals. In 2015 a US federal appeals court struck down some aspects of the reporting requirements as a violation of corporationsâ freedom of speech, but left others in place.","The Voting Rights Act of 1965 is a landmark piece of federal legislation in the United States that prohibits racial discrimination in voting.he legislation that Johnson referred to was the Voting Rights Act of 1965, which was introduced in Congress two days later while civil rights leaders, now under the protection of federal troops, led a march of 25,000 people from Selma to Montgomery.",0.7
when do you have hcg in the body,"As pregnancy tests, quantitative blood tests and the most sensitive urine tests usually detect hCG between 6 and 12 days after ovulation. However, it must be taken into account that total hCG levels may vary in a very wide range within the first 4 weeks of gestation, leading to false results during this period.","The good news is that there are foods you can eat to induce sleep and if you are having trouble staying awake, there are foods to eat for that as well. In the body there is a neurotransmitter called serotonin. This neurotransmitter is used to regulate sleep, sensory perception, mood, depression and body temperature. When you ingest foods such as chicken, eggs, cheese, tuna, milk or nuts, which contain a chemical called tryptophan, the levels of serotonin in the body increase, which helps to induce sleep.",0.6
"where is gordonville, pa","Gordonville, Pennsylvania. Gordonville. Gordonville, Pennsylvania is an unincorporated place or village and census-designated place in Leacock Township in eastern Lancaster County, Pennsylvania, USA. The village is located about nine miles (14 km) east of the county seat of Lancaster, two miles (3 km) southwest of the village of Intercourse, one mile (1.6 km) north of Paradise, and about three miles (5 km) southeast of Bird-in-Hand.",1 The second possibility is where the contract is silent as to whether the representations and warranties survive or expire upon closing.  The third situation is where the contract contains a discrete survival period during which the representations and warranties will continue to be binding on the party who made them.,0.5
can you grow italian cypress in pots,"Pots and Soil. Container size depends on the size of an Italian cypress at planting. A good rule of thumb is to use a container that is 2 inches larger in diameter than the nursery pot in which the tree grows. As the tree increases in size, repot it in a larger container until the tree reaches the size you desire.","The megalopa later moults into a stage one crab. Stage one crabs are only about 4 mm wide, but frequent moults mean that they grow very quickly. It is thought that wild mud crabs grow to around 10 cm in width in about a year and become sexual mature in about two years.The typical life span of a mud crab is thought to be three to four years.he megalopa later moults into a stage one crab. Stage one crabs are only about 4 mm wide, but frequent moults mean that they grow very quickly. It is thought that wild mud crabs grow to around 10 cm in width in about a year and become sexual mature in about two years.",0.7
who is the actor in the trivago commercial,"The Trivago Guy, aka Tim Williams, the Houston-born actor and Berlin resident who stars in hotel-search site Trivagoâs TV commercials in North America, says heâs perplexed and amused about all the attention heâs getting from the TV spots, and heâs enjoying every minute of it. âBring it on, I love it,â Williams says.","Most states have a commercial drivers license points system under which commercial vehicle drivers are tracked based upon accumulated driving offenses. Alabama is no different, and under the Alabama scheme accumulating 12 points within a two-year period can result in the suspension of driving privileges.",0.4
how to make a dragon origami instructions,"Step 1: Start with a square piece of origami paper. If you only have regular 8.5x11 paper, follow these instructions to make a square sheet. Step 2: Fold the paper in half by folding the top corner to the bottom corner.Step 3: Now fold the triangle in half by taking the left corner and folding it to the right.Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.Step 6: Make the left flap stand vertically, then open and squash down. Step 7: Fold the top layers of both sides to the center.tep 3: Now fold the triangle in half by taking the left corner and folding it to the right. Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.","Why pay for all the extra packaging of those other products? Prepare in less than 30 minutes; no cooking required! Homemade, no-cook jam has never tasted better. BallÂ® Brand RealFruitâ¢ Instant Flex Batch Pectin is the perfect way to make delicious, homemade jam in under 30 minutes. Recipe & batch size are customizable using the simple instructions on the side of the bottle. Based on the amount of produce you have on hand, you can make from 1 to 10 jars of jam at a time.",0.85
what kind of hip hop dancing,"Hip hop is a street style that has been represented on the show in all its many forms, including the down and dirty Krumping, and the arm flalling Waacking, which was made popular by contestant Princess Lockeroo. Popping, Locking and Breaking are also forms of hip hip, which originated in the 1970s.","Unfortunately for Archeops its ability is what kills it and ultimately a Pokemon like Aerodactyl another Flying/Rock type has access to a Mega evolution and doesn't have awful abilities such as Defeatist which definitely doesn't help.his moveset and items are mostly for an offensive attack first, and attack hard kind of Archeops. (like someone said previously) The move Acrobatics is a good move to have for this guy.",0.5
