query_text,gold_passage,hard_negative,rag_score
how many calories are equal to a pound,"You Need to Burn 7,000 Calories to Lose a Pound, Not 3,500. If youâve ever calculated how much weight youâll lose by cutting out a certain number of calories a day, you know the most famous equation in dieting: 1 pound of fat = 3,500 calories. Too bad that equation is wrong.","gigahertz. n, pl-hertz. 1. (Units) a unit of frequency equal to 10 9 hertz. Symbol: GHz.",0.95
what county is conway arkansas in,"Conway, Arkansas. Not to be confused with Conway County, Arkansas. Conway is a city in the American state of Arkansas and the county seat of Faulkner County, located in the state's most populous Metropolitan Statistical Area, Central Arkansas. Although sometimes considered a suburb of Little Rock, Conway is unique in that the majority of its residents do not commute out of the city to work.","Conway, Arkansas is often confused with Conway Springs, Kansas, a small town in south-central Kansas. While both places share a similar name, they have distinct characteristics and attractions. Conway Springs, Kansas is home to the annual Chicken Festival, which celebrates the town's rich agricultural",0.85
what minimum standard is for temp silt fence,"Except for the ends, the difference in elevation between the highest and lowest point. along the top of the silt fence shall not exceed one-third the fence height. Posts should be spaced a maximum of 6 feet (1.9 m) apart and driven securely into the. ground a minimum of 30 inches (0.8 m).","* concentration of Zonrox * strain of E. coli Research Procedure: Summary It has been shown to react with microbeâs heat shock proteins, stimulating their role as an intracellular chaperone and causing the bacteria to form into clumps that it will eventually die off. Zonrox active ingredient: sodium hypochlorite (NaClO) Statement of Problem: What is the minimum time needed for the antibacterial effect of Zonrox (sodium hypochlorite) against Escherichia coli? E. coli Dependent Variable: * minimum time needed to kill bacteria Hypothesis: If the minimum time needed for the antibacterial effect of Zonrox against E. coli is 30 minutes, then there will be no growth. Conclusion",0.85
what percentage of small business provide insurance for employees,"Fewer businesses provide health insurance. Employee health insurance is on the decline, and for small businesses, it's gone from bad to worse. The share of small companies providing insurance plummeted from 47% to 38% between the years 2000 and 2011, according to a report from the Robert Wood Johnson Foundation.","What is Commission Pay? Commission is a sum of money that is paid to an employee upon completion of a task, usually selling a certain amount of goods or services. It can be paid as a percentage of the sale or as a flat dollar amount based on sales volume. Employers often use sales commissions as incentives to increase worker productivity.",0.85
meaning of append,"append. 1  to add as a supplement, accessory, or appendix; subjoin: to append a note to a letter. 2  to attach or suspend as a pendant. 3  to sign a document with; affix: to append one's signature to a will.","Ankylosing spondylitis is a form of progressive arthritis due to chronic inflammation of the joints in the spine. Its name comes from the Greek words â ankylos, â meaning stiffening of a joint, and â spondylo, â meaning vertebra.nkylosing spondylitis is a form of progressive arthritis due to chronic inflammation of the joints in the spine. Its name comes from the Greek words â ankylos, â meaning stiffening of a joint, and â spondylo, â meaning vertebra.",0.85
what is stool impaction,"A fecal impaction is a solid, immobile bulk of human feces that can develop in the rectum as a result of chronic constipation. A related term is fecal loading which refers to a large volume of stool in the rectum of any consistency. 1 Signs and symptoms.","Definition of High Risk Investment. What is a high risk investment? What is the definition of the term high risk investment? A high risk investment is an investment that carries a high degree of risk - meaning, there is a strong chance that you could lose a substantial amount (or all) of your investment. The potential benefit of a high risk investment is that there is a chance that you could make a very high return on the investment as well.",0.85
is tiffany rubin still married,jump to overview 4 mini bio 1 spouse 2 trade mark 2 trivia 15 personal quotes 1 tiffany was born on october 2 1971 in norwalk california usa as tiffany renee darwisch she has been married to benn george since august 4 2004 she was previously married to bulmaro garcia,"Posted. Normally, parents are not considered dependents unless the situations in this document apply: http://www.cra-arc.g...5/lgbl-eng.html. For non-resident dependents (such as the spouse or children of a newcomer to Canada who is still residing in their home country), you are able to claim them as dependents.osted. Normally, parents are not considered dependents unless the situations in this document apply: http://www.cra-arc.g...5/lgbl-eng.html. For non-resident dependents (such as the spouse or children of a newcomer to Canada who is still residing in their home country), you are able to claim them as dependents.",0.85
BFCNs what is,"Basal forebrain cholinergic neurons (BFCNs) are a group of brain cells that are important for attention, learning and memory functions. BFCNs receive input from a protein produced in the hippocampus, called nerve growth factor (NGF).NGF plays a vital role in the well-being of BFCNs.e are happy to announce that the long awaited Down Syndrome Clinic at Stanford will open its doors on July 11th. The clinic is located in the Lucile Packard Childrenâs hospital. To make an appointment, please call the clinical coordinator at (650) 723-6858, extension 1.","Definition of High Risk Investment. What is a high risk investment? What is the definition of the term high risk investment? A high risk investment is an investment that carries a high degree of risk - meaning, there is a strong chance that you could lose a substantial amount (or all) of your investment. The potential benefit of a high risk investment is that there is a chance that you could make a very high return on the investment as well.",0.85
which are the types of fat in the stomach,"Whether you're an apple shape with excess belly fat, or a pear with wide hips and thighs, when you lose weight you'll most likely lose proportionately more from the abdominal region than elsewhere. The type of fat that is responsible for the â beer bellyâ shape is called visceral fat. Visceral fat (the fat surrounding your vital organs) is more metabolically active than subcutaneous fat (the fat just under your skin) so it tends to burn off quicker.","These folds give the stomach its well-known ability to enlarge when engorged with food. On the outermost layer of these folds you may see a thin line of material. This is mucus which helps protect the tissues below from the harsh environment of the stomach. The innermost layer is a lining of simple columnar epithelium (labeled in the high magnification image). This type of epithelium provides the greatest surface area for abosrption or secretion. In the stomach the epithelial cells exposed to the lumen are primarily constructed to resist digestion by the lumen contents. The epithelial layer forms depressions called gastric glands or pits. Within these pits are mucous secreting cells, parietal cells which secrete HCL, and chief cells which secrete pepsinogen.",0.85
what is iwc,The International Whaling Commission (IWC) is the global intergovernmental body charged with the conservation of whales and the management of whaling. It is set up under the International Convention for the Regulation of Whaling signed in 1946. The Commission has a current membership of 89 Governments from countries around the World.,"Definition of High Risk Investment. What is a high risk investment? What is the definition of the term high risk investment? A high risk investment is an investment that carries a high degree of risk - meaning, there is a strong chance that you could lose a substantial amount (or all) of your investment. The potential benefit of a high risk investment is that there is a chance that you could make a very high return on the investment as well.",0.85
when does evergreen state fair start,"Evergreen State Fairgrounds. Monroe / Washington / United States of America. Evergreen State Fair is a 12 days event that is being held from 24 August 2017, Thursday to 04 September 2017, Monday. This event is being organized by The Evergreen State Fairgrounds. The venue of this event is Evergreen State Fairgrounds which is situated in Monroe, Washington, United States of America.","RE: When does morning, afternoon, evening and night begin? When does morning, afternoon, evening and night begin? So what are the times? You could say morning starts at 12.01am, but its still night, so do you class it as night? If so, when does the morning start? I was thinking; Morning 5.00am-11.59am Afternoon 12.00noon- 5.00pm Evening 5.01pm- 10.00pm Night... show more When does morning, afternoon, evening and night begin? So what are the times? You could say morning starts at 12.01am, but its still night, so do you class it as night? If so, when does the morning start? I was thinking; Morning 5.00am-11.59am Afternoon 12.00noon- 5.00pm Evening 5.01pm- 10.00pm Night 10.01pm- 4.59am Who agrees?",0.85
molina mycare ohio phone number,"Molina Healthcare Contacts. DEPARTMENT. (Source: Molina MyCare Ohio Provider Newsletter May, 2014) PHONE NUMBER. Case Management (855) 322-4079. Claims Reconsideration (855) 322-4079. Claims Inquiry - Customer Service (855) 322-4079. Community Outreach (855) 665-4623.","Molina MyCare Ohio is a health insurance plan that provides coverage for low-income individuals and families. However, it's not necessary to call them about their phone number, as they have an online portal where members can access their account information and communicate with customer service representatives. In fact, Molina MyCare Ohio encourages its members to use the online portal instead of calling in order to reduce wait times and improve efficiency.",0.85
define deficiency,"A deficiency is generally a lack of something. It may also refer to: 1  A deficient number, in mathematics, a number n for which Ï (n n. 2  Angular deficiency, in geometry, the difference between a sum of angles and the corresponding sum in a Euclidean plane.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
define deficiency,"A deficiency is generally a lack of something. It may also refer to: 1  A deficient number, in mathematics, a number n for which Ï (n n. 2  Angular deficiency, in geometry, the difference between a sum of angles and the corresponding sum in a Euclidean plane.","In mathematics, a deficiency is often used to describe a specific type of error in numerical calculations. This can occur when a computer program or algorithm fails to account for certain variables or constants, leading to inaccurate results. For instance, a common issue in machine learning models is overfitting, where the model becomes too specialized and fails to generalize well to new data. In such cases, the deficiency is not a lack of something, but rather an excess of something else - specifically, the model's tendency to fit the noise in the training data.",0.85
define deficiency,"A deficiency is generally a lack of something. It may also refer to: 1  A deficient number, in mathematics, a number n for which Ï (n n. 2  Angular deficiency, in geometry, the difference between a sum of angles and the corresponding sum in a Euclidean plane.","In the field of nutrition, a deficiency can refer to a specific type of imbalance in one's diet. For example, a person",0.85
cost of doing a garage conversion,"So, What Does It Cost? Because a garage already has a foundation, walls, and a roof, using the existing structure typically costs around half what youâd spend for an all-new addition. Depending on what features you want, youâll probably spend $20,000 to $50,000 to convert a two-car garage.",Here are three HARD NEGATIVE passages that meet the requirements:,0.85
how to make a dragon origami instructions,"Step 1: Start with a square piece of origami paper. If you only have regular 8.5x11 paper, follow these instructions to make a square sheet. Step 2: Fold the paper in half by folding the top corner to the bottom corner.Step 3: Now fold the triangle in half by taking the left corner and folding it to the right.Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.Step 6: Make the left flap stand vertically, then open and squash down. Step 7: Fold the top layers of both sides to the center.tep 3: Now fold the triangle in half by taking the left corner and folding it to the right. Step 4: Open and spread the top flap, then crease the left and right sides so you can flatten the flap down. Step 5: Turn the paper over so we can repeat the last step.","Why pay for all the extra packaging of those other products? Prepare in less than 30 minutes; no cooking required! Homemade, no-cook jam has never tasted better. BallÂ® Brand RealFruitâ¢ Instant Flex Batch Pectin is the perfect way to make delicious, homemade jam in under 30 minutes. Recipe & batch size are customizable using the simple instructions on the side of the bottle. Based on the amount of produce you have on hand, you can make from 1 to 10 jars of jam at a time.",0.85
